name,address,phone,website,rating,reviews,category,place_id,source_query,search_niche,search_city,search_query
Relax and Smile Dental Care,"271 NE 2nd St, Miami, FL 33132",(786) 983-4812,https://www.relaxandsmile.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,4.8,870,Dentist,ChIJ8WVD9Z622YgRTsE_RcBq1Qk,dentists in miami,dentists,miami,dentists in miami
Bayfront Dental,"224 SE 1st St, Miami, FL 33131",(305) 530-1866,https://www.bayfrontdental.com/,4.8,493,Dentist,ChIJXfwuyZ222YgRMJFFi-sUKag,dentists in miami,dentists,miami,dentists in miami
Midtown Dental Miami,"3915 Biscayne Blvd Unit 306, Miami, FL 33137",(305) 598-6070,http://www.midtowndentalmiami.com/,4.2,161,Dentist,ChIJQzJHv1ex2YgRMdj_j6kkb0c,dentists in miami,dentists,miami,dentists in miami
Super Dentist Miami,"1660 SW 1st St, Miami, FL 33135",(305) 642-8499,https://superdentistmiami.com/,4.9,294,Dentist,ChIJwyRMIXm32YgRWKinaI_2bm4,dentists in miami,dentists,miami,dentists in miami
Alfonso Dental Miami,"351 NW 42nd Ave STE 402, Miami, FL 33126",(305) 642-4142,https://alfonsodental305.com/,5.0,1004,Dentist,ChIJOzkeHFu_2YgRSHlh6Ja0stg,dentists in miami,dentists,miami,dentists in miami
Ultra Smile Miami,"168 SE 1st St, Miami, FL 33131",(305) 372-1020,http://ultrasmilemiami.com/,4.8,809,Dentist,ChIJzfnoM5y22YgR1GGcGrWwfH8,dentists in miami,dentists,miami,dentists in miami
ONE Dental Miami,"1330 Coral Wy #100, Miami, FL 33145",(305) 285-5150,http://www.onedentalmiami.com/,4.8,344,Dentist,ChIJOeo2vFu22YgRnXmUhbsc1LE,dentists in miami,dentists,miami,dentists in miami
All Smiles Dentistry Miami,"150 SE 2nd Ave STE 604, Miami, FL 33131",(305) 371-6064,https://miamidental.net/,4.9,394,Dentist,ChIJkdeQKFDA2YgRpaDPJCQgHEQ,dentists in miami,dentists,miami,dentists in miami
Dentists at Midtown,"3120 N Miami Ave, Miami, FL 33127",(786) 724-0418,https://www.dentistsatmidtown.com/?sc_cid=GBP%3AO%3AGP%3A979%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTIwMzA0NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.2,437,Dentist,ChIJp5CEqmCx2YgRCvJLGG0k_UY,dentists in miami,dentists,miami,dentists in miami
Dentists in Brickell - HQ Dontics Dental Centre,"1060 Brickell Ave Suite 103/M2, Miami, FL 33131",(229) 508-0551,https://www.hqdontics.com/,4.9,649,Dentist,ChIJ0XSP4IO22YgRhKT-1BNj3Z0,dentists in miami,dentists,miami,dentists in miami
My Dentist in Miami,"40 SW 13th St Suite 103, Miami, FL 33130",(305) 222-9899,https://www.mydentistinmiami.com/,4.4,73,Dentist,ChIJv-sZB6W32YgRUDIzRsNew3I,dentists in miami,dentists,miami,dentists in miami
Dental Team of Miami,"801 NW 37th Ave Suite #204, Miami, FL 33125",(305) 448-7119,https://dentalteamfl.com/locations/miami/?utm_campaign=gmb&utm_medium=gmb&utm_source=google,4.8,427,Dentist,ChIJVySxrCq32YgRB8mrK5b9fcg,dentists in miami,dentists,miami,dentists in miami
Elite Smiles Dental Center,"1501 SW 37th Ave Suite B, Miami, FL 33145",(786) 228-7000,https://elitesmilesdentalcenter.com/,5.0,186,Dentist,ChIJlePrEiO32YgRRNKyopwgvuE,dentists in miami,dentists,miami,dentists in miami
Amaya Dental,"815 NW 57th Ave #344, Miami, FL 33126",(305) 264-2711,https://www.amayadental.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,4.9,902,Dentist,ChIJkY2wTNu52YgRL7c4EO7fXlI,dentists in miami,dentists,miami,dentists in miami
My Smile Miami,"782 NW 42nd Ave #633, Miami, FL 33126",(305) 444-0808,http://www.mysmilemiami.com/,5.0,1543,Cosmetic dentist,ChIJZ524ymi32YgR4HrN8bg9vzU,dentists in miami,dentists,miami,dentists in miami
Miami Dental Group of Kendall,"7755 SW 87th Ave STE 120, Miami, FL 33173",(305) 271-0160,https://miamidentalgroup.com/,5.0,1591,Dentist,ChIJHRTDgm_H2YgR8L-eZF8B408,dentists in miami,dentists,miami,dentists in miami
Miami Dental Sedation Spa - Miami,"401 SW 42nd Ave #302, Miami, FL 33134",(305) 445-4646,https://miamidentalsedationspa.com/,5.0,1221,Dentist,ChIJ8Sx_2nC32YgReiUaspXKIYs,dentists in miami,dentists,miami,dentists in miami
Miami Bay Oral Health,"111 NW 8th St, Miami, FL 33136",(786) 870-1135,https://miamibayoralhealth.com/,4.8,2199,Dentist,ChIJvaNo85222YgRlxcWpPoe30U,dentists in miami,dentists,miami,dentists in miami
Dental Progress,"477 NW 27th Ave, Miami, FL 33125",(786) 409-2233,https://dentalprogres.com/,4.9,196,Dental clinic,ChIJ3S26L1G32YgRhQvyzzgOdGo,dentists in miami,dentists,miami,dentists in miami
Biscayne Dental & Facial Aesthetics,"350 NE 24th St Suite 105, Miami, FL 33137",(305) 224-1138,https://dentistry.bwcmiami.com/,4.9,334,Dentist,ChIJH9_tZqq22YgRb84aw-ZQDrI,dentists in miami,dentists,miami,dentists in miami
Bright Smiles Miami,"2555 SW 8th St suite 201, Miami, FL 33135",(305) 428-2878,https://www.brightsmilesmiami.com/?utm_source=gmb&utm_medium=organic,5.0,125,Dentist,ChIJfUe52FW32YgRhJnqFCtPh18,dentists in miami,dentists,miami,dentists in miami
"Dr. Daniel A. DelCastillo, DMD PA - Miami Beach","925 Arthur Godfrey Rd # 302, Miami Beach, FL 33140",(305) 414-1508,https://www.beachdentalcare.com/,4.9,597,Dentist,ChIJl8eo9nCz2YgRLnCZvmSRuag,dentists in miami,dentists,miami,dentists in miami
Dental World of Miami,"40 SW 13th St #801, Miami, FL 33130",(305) 505-4100,http://www.dentalworldmiami.com/,4.7,230,Dentist,ChIJwRlwO4W22YgRnDvPty3p8qg,dentists in miami,dentists,miami,dentists in miami
ADC Dental Care - Dentist in Miami FL,"199 SW 12th Ave Suite 5, Miami, FL 33130",(786) 391-0112,https://adc-dentalcare.com/,4.5,135,Dentist,ChIJ9x_zV6-32YgRAHQc-I1GO_o,dentists in miami,dentists,miami,dentists in miami
Royal Dentistry Studio,"1125 NW 22nd Ave, Miami, FL 33125",(305) 649-6112,http://www.royaldentistrystudio.com/,5.0,356,Dental clinic,ChIJpZLIzB232YgRWkdSKK6QYnM,dentists in miami,dentists,miami,dentists in miami
Miami Whites Teeth Whitening,"1000 Brickell Ave Ste 715 #1730, Miami, FL 33131",(786) 445-8001,http://miamiwhitesteeth.com/,4.9,146,Teeth whitening service,ChIJeSxSzcimIiwR6ml3wJLPi10,dentists in miami,dentists,miami,dentists in miami
Smile Design Miami,"936 SW 82nd Ave, Miami, FL 33144",(305) 269-1440,https://mysmiledesignmiami.com/,4.9,489,Cosmetic dentist,ChIJCV_9C_y42YgRjJ5r9MY2fTA,dentists in miami,dentists,miami,dentists in miami
Miami Dental Spa,"9507 S Dixie Hwy, Pinecrest, FL 33156",(305) 859-7949,https://miami-dentalspa.com/,4.9,73,Dental clinic,ChIJq7wa1zPH2YgR0V9vYaoOvE0,dentists in miami,dentists,miami,dentists in miami
Ultra Smile DentaSpa,"111 NE 32nd St, Miami, FL 33137",(305) 676-5330,https://www.ultrasmilemiami.com/,4.8,735,Dentist,ChIJ0c51HL-x2YgRHPjFq8DE-t4,dentists in miami,dentists,miami,dentists in miami
Dr. Javier Cutino - Miami & Gables Emergency Dentist,"336 Sevilla Ave, Coral Gables, FL 33134",(305) 496-1618,https://www.vidadentalcoralgables.com/,4.8,90,Dentist,ChIJK5vf-rO32YgRstcdjc8tspI,dentists in miami,dentists,miami,dentists in miami
West Brickell Dental,"763 W Flagler St, Miami, FL 33130",(305) 324-6312,https://www.mydentalcentermiami.com/,5.0,356,Dentist,ChIJn3mBFgy32YgRIV_64QkA-PI,dentists in miami,dentists,miami,dentists in miami
Best Dental Care,"1673 SW 27th Ave, Miami, FL 33145",(305) 642-6330,http://bestdentalcareplus.com/,4.8,197,Dentist,ChIJS_40Zam32YgRL1aeV4jWFsc,dentists in miami,dentists,miami,dentists in miami
Miami Modern Dental,"7155 W Flagler St, Miami, FL 33144",(786) 338-9228,,4.9,171,Dentist,ChIJyTev2q252YgR3zyVoULZvB0,dentists in miami,dentists,miami,dentists in miami
LP Dental & Cosmetic,"720 SW 58th Ct, Miami, FL 33144",(305) 266-0011,https://www.lpdentalandcosmetic.com/,4.9,425,Dentist,ChIJt-q6LTO42YgRoBE2S91u_gI,dentists in miami,dentists,miami,dentists in miami
Miami Shores Dental Group,"9101 Park Dr, Miami Shores, FL 33138",(305) 754-0062,https://www.miamiteeth.com/,4.8,636,Dentist,ChIJo6K6TCiy2YgRH6VFpX1lCdg,dentists in miami,dentists,miami,dentists in miami
Epic Smiles Miami,"2525 SW 8th St, Miami, FL 33135",(786) 245-6181,https://dentistlittlehavana.com/?utm_source=google&utm_medium=social&utm_campaign=Epic+Smiles+Miami&utm_term=Dentist+Little+Havana,4.9,55,Dentist,ChIJrSI8CXG32YgRA_XkBD9etSA,dentists in miami,dentists,miami,dentists in miami
Miami Shores Modern Dentistry,"9503 NE 2nd Ave, Miami Shores, FL 33138",(786) 310-4816,https://www.miamishoresmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A991%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzQ3NzQ5MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.5,770,Dentist,ChIJcT_yU4-x2YgR4oWuXAuMVsc,dentists in miami,dentists,miami,dentists in miami
"Ramon Bana, DDS - Miami Sedation & Cosmetic Dentistry","2461 Coral Wy, Miami, FL 33145",(305) 857-3731,https://drramonbana.com/,4.9,432,Cosmetic dentist,ChIJ90NRrq232YgROx9mQGh-ap4,dentists in miami,dentists,miami,dentists in miami
Dentist of Miami and Orthodontics,"15790 SW 56th St, Miami, FL 33185",(305) 290-4999,https://drfornosdentistofmiami.com/,5.0,263,Dentist,ChIJT3fveB3A2YgRC-rS_NEfW4w,dentists in miami,dentists,miami,dentists in miami
MIA Dental - South Beach,"407 Lincoln Rd Suite 700, Miami Beach, FL 33139",(305) 532-6795,https://miadental.net/,4.7,369,Dentist,ChIJB62GOoW02YgRHiBMeX2RJoM,dentists in miami,dentists,miami,dentists in miami
Miami Best Dental,"6601 SW 80th St STE 213, South Miami, FL 33143",(305) 667-2334,https://miamibestdental.com/,5.0,468,Dentist,ChIJE55nIJXH2YgRJToQaBNbhhY,dentists in miami,dentists,miami,dentists in miami
Dentists in the Grove,"2750 SW 27th Terrace Ste 114, Miami, FL 33133",(305) 842-2878,https://www.dentistsinthegrove.com/?sc_cid=GBP%3AO%3AGP%3A1106%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTAzMDAzOTc1Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.6,207,Dentist,ChIJl5jPjxu32YgRITqdFyL_Kbg,dentists in miami,dentists,miami,dentists in miami
Viva Dental,"2085 SW 1st St, Miami, FL 33135",(305) 643-6262,https://www.vivadentalmiami.com/,4.9,102,Dentist,ChIJo3CKLuO22YgR6ljAgZ1kUdM,dentists in miami,dentists,miami,dentists in miami
Smile Design Mia - Cosmetic Dental Clinic Miami,"3850 Bird Rd STE 301, Miami, FL 33146",(786) 360-2749,https://www.smiledesignmia.com/,4.8,177,Dentist,ChIJhcX2zvS32YgR6PR6OI87G1s,dentists in miami,dentists,miami,dentists in miami
New Dental Care,"1250 SW 27th Ave # 203, Miami, FL 33135",(305) 649-9443,http://newdentalcaremiami.com/,4.9,41,Dental clinic,ChIJT9vktYm32YgRn_xMZDTYtO8,dentists in miami,dentists,miami,dentists in miami
